2021-12-12 22:12:811 INFO  ManageDriver :30 - Launching Chrome Browser
2021-12-13 00:12:691 INFO  ManageDriver :30 - Launching Chrome Browser
2021-12-13 00:12:606 INFO  ManageDriver :30 - Launching Chrome Browser
2021-12-13 00:12:909 INFO  HomePage :55 - verifying the welcome message : [[ChromeDriver: chrome on WINDOWS (d9e9bc6fdefb19a05784acdf8c3945b0)] -> xpath: //a[@id='welcome']]
2021-12-13 01:12:828 INFO  ManageDriver :30 - Launching Chrome Browser
2021-12-13 01:12:767 INFO  HomePage :55 - verifying the welcome message : [[ChromeDriver: chrome on WINDOWS (02ecbe9ca0be6d90fcc09539b22059d2)] -> xpath: //a[@id='welcome']]
2021-12-13 01:12:862 INFO  ManageDriver :30 - Launching Chrome Browser
2021-12-13 01:12:38 INFO  HomePage :62 - verifying the logo : [[ChromeDriver: chrome on WINDOWS (1348bfdd80d3d38514faa6ac4ca51adb)] -> xpath: //img[@alt='OrangeHRM']]
2021-12-13 01:12:545 INFO  ManageDriver :30 - Launching Chrome Browser
2021-12-13 01:12:376 INFO  HomePage :55 - verifying the welcome message : [[ChromeDriver: chrome on WINDOWS (f1a9c538377cad67b39e9333f8f88e9d)] -> xpath: //a[@id='welcome']]
2021-12-13 01:12:245 INFO  ManageDriver :30 - Launching Chrome Browser
2021-12-13 01:12:546 INFO  HomePage :62 - verifying the logo : [[ChromeDriver: chrome on WINDOWS (ad9e738c1c76303df2589e2fdadf09ed)] -> xpath: //img[@alt='OrangeHRM']]
2021-12-13 01:12:512 INFO  ManageDriver :30 - Launching Chrome Browser
2021-12-13 01:12:853 INFO  HomePage :67 - Clicking on the user profile logo : [[ChromeDriver: chrome on WINDOWS (32fad023af309fec4368da452f3175aa)] -> xpath: //a[@id='welcome']]
2021-12-13 01:12:189 INFO  HomePage :74 - click on logout: [[ChromeDriver: chrome on WINDOWS (32fad023af309fec4368da452f3175aa)] -> xpath: //a[normalize-space()='Logout']]
2021-12-13 01:12:662 INFO  ManageDriver :30 - Launching Chrome Browser
2021-12-13 01:12:743 INFO  HomePage :55 - verifying the welcome message : [[ChromeDriver: chrome on WINDOWS (dfe8f6478aabd3bb3df4bf29587f4301)] -> xpath: //a[@id='welcome']]
2021-12-13 01:12:671 INFO  ManageDriver :30 - Launching Chrome Browser
2021-12-13 01:12:57 INFO  HomePage :62 - verifying the logo : [[ChromeDriver: chrome on WINDOWS (1807fad02f5526aaf8b315ed9638ce5c)] -> xpath: //img[@alt='OrangeHRM']]
2021-12-13 01:12:12 INFO  ManageDriver :30 - Launching Chrome Browser
2021-12-13 01:12:443 INFO  HomePage :67 - Clicking on the user profile logo : [[ChromeDriver: chrome on WINDOWS (2ce5ac1392431991ae4c267b29370f52)] -> xpath: //a[@id='welcome']]
2021-12-13 01:12:826 INFO  HomePage :74 - click on logout: [[ChromeDriver: chrome on WINDOWS (2ce5ac1392431991ae4c267b29370f52)] -> xpath: //a[normalize-space()='Logout']]
2021-12-13 01:12:178 INFO  ManageDriver :30 - Launching Chrome Browser
2021-12-13 01:12:53 INFO  HomePage :55 - verifying the welcome message : [[ChromeDriver: chrome on WINDOWS (b919784743abe7a5b8b60a77411ce16d)] -> xpath: //a[@id='welcome']]
2021-12-13 01:12:112 INFO  ManageDriver :30 - Launching Chrome Browser
2021-12-13 01:12:277 INFO  HomePage :62 - verifying the logo : [[ChromeDriver: chrome on WINDOWS (0c5d9319ebbd572086231ccbb6efa33f)] -> xpath: //img[@alt='OrangeHRM']]
2021-12-13 01:12:195 INFO  ManageDriver :30 - Launching Chrome Browser
2021-12-13 01:12:508 INFO  HomePage :67 - Clicking on the user profile logo : [[ChromeDriver: chrome on WINDOWS (7607e78e28857a3ddb1828f7be397a6b)] -> xpath: //a[@id='welcome']]
2021-12-13 01:12:882 INFO  HomePage :74 - click on logout: [[ChromeDriver: chrome on WINDOWS (7607e78e28857a3ddb1828f7be397a6b)] -> xpath: //a[normalize-space()='Logout']]
2021-12-13 02:12:28 INFO  ManageDriver :30 - Launching Chrome Browser
2021-12-13 02:12:978 INFO  HomePage :55 - verifying the welcome message : [[ChromeDriver: chrome on WINDOWS (129c47f0c2602ff593ac572315e4ea48)] -> xpath: //a[@id='welcome']]
2021-12-13 02:12:878 INFO  ManageDriver :30 - Launching Chrome Browser
2021-12-13 02:12:994 INFO  HomePage :62 - verifying the logo : [[ChromeDriver: chrome on WINDOWS (7339963cd047635bb8b86d6b3361c770)] -> xpath: //img[@alt='OrangeHRM']]
2021-12-13 02:12:928 INFO  ManageDriver :30 - Launching Chrome Browser
2021-12-13 02:12:192 INFO  HomePage :67 - Clicking on the user profile logo : [[ChromeDriver: chrome on WINDOWS (454ba320a55a1ff3ab9029552f9c9096)] -> xpath: //a[@id='welcome']]
2021-12-13 02:12:594 INFO  HomePage :74 - click on logout: [[ChromeDriver: chrome on WINDOWS (454ba320a55a1ff3ab9029552f9c9096)] -> xpath: //a[normalize-space()='Logout']]
2021-12-13 02:12:628 INFO  ManageDriver :30 - Launching Chrome Browser
2021-12-13 02:12:577 INFO  HomePage :80 - click on admin tab : [[ChromeDriver: chrome on WINDOWS (8346132019030494a788a09c47f7d313)] -> xpath: //b[normalize-space()='Admin']]
2021-12-13 02:12:350 INFO  ManageDriver :30 - Launching Chrome Browser
2021-12-13 02:12:39 INFO  HomePage :55 - verifying the welcome message : [[ChromeDriver: chrome on WINDOWS (4a4d6eb4257633718482bf75095f6077)] -> xpath: //a[@id='welcome']]
2021-12-13 02:12:00 INFO  ManageDriver :30 - Launching Chrome Browser
2021-12-13 02:12:160 INFO  HomePage :62 - verifying the logo : [[ChromeDriver: chrome on WINDOWS (5cb761a61599dfc55d239763ddd5fb31)] -> xpath: //img[@alt='OrangeHRM']]
2021-12-13 02:12:118 INFO  ManageDriver :30 - Launching Chrome Browser
2021-12-13 02:12:538 INFO  HomePage :67 - Clicking on the user profile logo : [[ChromeDriver: chrome on WINDOWS (eaf6fe87813caf4b788e65087cc67ef4)] -> xpath: //a[@id='welcome']]
2021-12-13 02:12:874 INFO  HomePage :74 - click on logout: [[ChromeDriver: chrome on WINDOWS (eaf6fe87813caf4b788e65087cc67ef4)] -> xpath: //a[normalize-space()='Logout']]
2021-12-13 02:12:908 INFO  ManageDriver :30 - Launching Chrome Browser
2021-12-13 02:12:207 INFO  HomePage :80 - click on admin tab : [[ChromeDriver: chrome on WINDOWS (de2d60f57f1e192c660a5d0d188b2a09)] -> xpath: //b[normalize-space()='Admin']]
2021-12-13 02:12:290 INFO  ViewSystemUsersPage :59 - verifying the system users message : Proxy element for: DefaultElementLocator 'By.id: '
2021-12-13 02:12:849 INFO  ViewSystemUsersPage :64 - clicking on add button : [[ChromeDriver: chrome on WINDOWS (de2d60f57f1e192c660a5d0d188b2a09)] -> xpath: //input[@id='btnAdd']]
2021-12-13 02:12:899 INFO  AddUserPage :58 - verifying the add users message : [[ChromeDriver: chrome on WINDOWS (de2d60f57f1e192c660a5d0d188b2a09)] -> xpath: //h1[@id='UserHeading']]
2021-12-13 02:12:06 INFO  AddUserPage :63 - selecting user role : Admin
2021-12-13 02:12:115 INFO  AddUserPage :69 - enter the employee name : Ananya Dash
2021-12-13 02:12:239 INFO  AddUserPage :74 - enter the employee username : AnanyaDash100
2021-12-13 02:12:307 INFO  AddUserPage :79 - selecting user status : Disabled
2021-12-13 02:12:405 INFO  AddUserPage :84 - Enter password[[ChromeDriver: chrome on WINDOWS (de2d60f57f1e192c660a5d0d188b2a09)] -> xpath: //input[@id='systemUser_password']]
2021-12-13 02:12:505 INFO  AddUserPage :88 - Enter confirmation password[[ChromeDriver: chrome on WINDOWS (de2d60f57f1e192c660a5d0d188b2a09)] -> xpath: //input[@id='systemUser_confirmPassword']]
2021-12-13 02:12:561 INFO  AddUserPage :93 - Click on the save Button : [[ChromeDriver: chrome on WINDOWS (de2d60f57f1e192c660a5d0d188b2a09)] -> xpath: //input[@id='btnSave']]
2021-12-13 02:12:858 INFO  ManageDriver :30 - Launching Chrome Browser
2021-12-13 02:12:770 INFO  HomePage :55 - verifying the welcome message : [[ChromeDriver: chrome on WINDOWS (560d27af2e5137f278b76c213cfc1b21)] -> xpath: //a[@id='welcome']]
2021-12-13 02:12:686 INFO  ManageDriver :30 - Launching Chrome Browser
2021-12-13 02:12:995 INFO  HomePage :62 - verifying the logo : [[ChromeDriver: chrome on WINDOWS (c6482cfe48d02eca0ad19d020a287bcb)] -> xpath: //img[@alt='OrangeHRM']]
2021-12-13 02:12:916 INFO  ManageDriver :30 - Launching Chrome Browser
2021-12-13 02:12:160 INFO  HomePage :67 - Clicking on the user profile logo : [[ChromeDriver: chrome on WINDOWS (38dca555e975ad9a7eba34ba891ce39d)] -> xpath: //a[@id='welcome']]
2021-12-13 02:12:486 INFO  HomePage :74 - click on logout: [[ChromeDriver: chrome on WINDOWS (38dca555e975ad9a7eba34ba891ce39d)] -> xpath: //a[normalize-space()='Logout']]
2021-12-13 02:12:571 INFO  ManageDriver :30 - Launching Chrome Browser
2021-12-13 02:12:509 INFO  HomePage :80 - click on admin tab : [[ChromeDriver: chrome on WINDOWS (f79ee4a69d5ec550e2e6d98a9ba3d29c)] -> xpath: //b[normalize-space()='Admin']]
2021-12-13 02:12:591 INFO  ViewSystemUsersPage :59 - verifying the system users message : Proxy element for: DefaultElementLocator 'By.id: '
2021-12-13 02:12:169 INFO  ViewSystemUsersPage :64 - clicking on add button : [[ChromeDriver: chrome on WINDOWS (f79ee4a69d5ec550e2e6d98a9ba3d29c)] -> xpath: //input[@id='btnAdd']]
2021-12-13 02:12:217 INFO  AddUserPage :58 - verifying the add users message : [[ChromeDriver: chrome on WINDOWS (f79ee4a69d5ec550e2e6d98a9ba3d29c)] -> xpath: //h1[@id='UserHeading']]
2021-12-13 02:12:290 INFO  AddUserPage :63 - selecting user role : Admin
2021-12-13 02:12:401 INFO  AddUserPage :69 - enter the employee name : Ananya Dash
2021-12-13 02:12:510 INFO  AddUserPage :74 - enter the employee username : AnanyaDash100
2021-12-13 02:12:578 INFO  AddUserPage :79 - selecting user status : Disabled
2021-12-13 02:12:686 INFO  AddUserPage :84 - Enter password[[ChromeDriver: chrome on WINDOWS (f79ee4a69d5ec550e2e6d98a9ba3d29c)] -> xpath: //input[@id='systemUser_password']]
2021-12-13 02:12:777 INFO  AddUserPage :88 - Enter confirmation password[[ChromeDriver: chrome on WINDOWS (f79ee4a69d5ec550e2e6d98a9ba3d29c)] -> xpath: //input[@id='systemUser_confirmPassword']]
2021-12-13 02:12:841 INFO  AddUserPage :93 - Click on the save Button : [[ChromeDriver: chrome on WINDOWS (f79ee4a69d5ec550e2e6d98a9ba3d29c)] -> xpath: //input[@id='btnSave']]
2021-12-13 02:12:800 INFO  ManageDriver :30 - Launching Chrome Browser
2021-12-13 02:12:716 INFO  HomePage :55 - verifying the welcome message : [[ChromeDriver: chrome on WINDOWS (54f751efc8e838814a46cf03c8cac5cd)] -> xpath: //a[@id='welcome']]
2021-12-13 02:12:648 INFO  ManageDriver :30 - Launching Chrome Browser
2021-12-13 02:12:957 INFO  HomePage :62 - verifying the logo : [[ChromeDriver: chrome on WINDOWS (8136baca0fd1c9ccc46c0bb7784d5545)] -> xpath: //img[@alt='OrangeHRM']]
2021-12-13 02:12:938 INFO  ManageDriver :30 - Launching Chrome Browser
2021-12-13 02:12:144 INFO  HomePage :67 - Clicking on the user profile logo : [[ChromeDriver: chrome on WINDOWS (b5bb638da062ed7a52ff4020e6d470fb)] -> xpath: //a[@id='welcome']]
2021-12-13 02:12:444 INFO  HomePage :74 - click on logout: [[ChromeDriver: chrome on WINDOWS (b5bb638da062ed7a52ff4020e6d470fb)] -> xpath: //a[normalize-space()='Logout']]
2021-12-13 02:12:458 INFO  ManageDriver :30 - Launching Chrome Browser
2021-12-13 02:12:639 INFO  HomePage :80 - click on admin tab : [[ChromeDriver: chrome on WINDOWS (0d0a6e7ebbd6dd2e208d8a5431680be7)] -> xpath: //b[normalize-space()='Admin']]
2021-12-13 02:12:712 INFO  ViewSystemUsersPage :59 - verifying the system users message : Proxy element for: DefaultElementLocator 'By.id: '
2021-12-13 02:12:273 INFO  ViewSystemUsersPage :64 - clicking on add button : [[ChromeDriver: chrome on WINDOWS (0d0a6e7ebbd6dd2e208d8a5431680be7)] -> xpath: //input[@id='btnAdd']]
2021-12-13 02:12:327 INFO  AddUserPage :58 - verifying the add users message : [[ChromeDriver: chrome on WINDOWS (0d0a6e7ebbd6dd2e208d8a5431680be7)] -> xpath: //h1[@id='UserHeading']]
2021-12-13 02:12:404 INFO  AddUserPage :63 - selecting user role : Admin
2021-12-13 02:12:509 INFO  AddUserPage :69 - enter the employee name : Ananya Dash
